theta,PM,KL,KR
3.67465311467063,3.67465311467063,0,7.34930622934127
7.34930622934127,7.34930622934127,0,14.6986124586825
11.0239593440119,11.0239593440119,0,22.0479186880238
14.6986124586825,14.6986124586825,0,29.3972249173651
18.3732655733532,18.3732655733532,0,36.7465311467063
18.3732655733532,18.3732655733532,0,36.7465311467063
0,14.6986124586825,-14.6986124586825,14.6986124586825
3.67465311467063,18.3732655733532,-14.6986124586825,22.0479186880238
7.34930622934127,22.0479186880238,-14.6986124586825,29.3972249173651
11.0239593440119,25.7225718026944,-14.6986124586825,36.7465311467063
11.0239593440119,25.7225718026944,-14.6986124586825,36.7465311467063
0,22.0479186880238,-22.0479186880238,22.0479186880238
3.67465311467063,25.7225718026944,-22.0479186880238,29.3972249173651
7.34930622934127,29.3972249173651,-22.0479186880238,36.7465311467063
7.34930622934127,29.3972249173651,-22.0479186880238,36.7465311467063
0,29.3972249173651,-29.3972249173651,29.3972249173651
3.67465311467063,33.0718780320357,-29.3972249173651,36.7465311467063
3.67465311467063,33.0718780320357,-29.3972249173651,36.7465311467063
0,36.7465311467063,-36.7465311467063,36.7465311467063
0,36.7465311467063,-36.7465311467063,36.7465311467063
